base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation
2024,Current,2026,January,All India,Combined,CPI (General),*,*,*,*,*,104.46,2.75,*
2024,Current,2026,January,All India,Combined,Food and beverages,*,*,*,*,01,104.03,2.11,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",*,*,*,*,02,104.42,2.86,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,*,*,*,*,03,105.92,2.98,*
2024,Current,2026,January,All India,Combined,"Housing, water, electricity, gas and other fuels",*,*,*,*,04,102.02,1.53,*
2024,Current,2026,January,All India,Combined,"Furnishings, household equipment and routine household maintenance",*,*,*,*,05,102.97,1.45,*
2024,Current,2026,January,All India,Combined,Health,*,*,*,*,06,103.91,2.19,*
2024,Current,2026,January,All India,Combined,Transport,*,*,*,*,07,100.64,0.09,*
2024,Current,2026,January,All India,Combined,Information and communication,*,*,*,*,08,103.30,0.16,*
2024,Current,2026,January,All India,Combined,"Recreation, sport and culture",*,*,*,*,09,104.03,2.32,*
2024,Current,2026,January,All India,Combined,Education services,*,*,*,*,10,105.33,3.35,*
2024,Current,2026,January,All India,Combined,Restaurants and accommodation services,*,*,*,*,11,105.71,2.87,*
2024,Current,2026,January,All India,Combined,"Personal care, social protection and miscellaneous goods and services",*,*,*,*,13,122.63,19.02,*
2024,Current,2026,January,All India,Combined,Food and beverages,Food,*,*,*,01.1,104.04,2.13,*
2024,Current,2026,January,All India,Combined,Food and beverages,Beverages,*,*,*,01.2,103.41,1.56,*
2024,Current,2026,January,All India,Combined,Food and beverages,Services for processing primary goods for food,*,*,*,01.3,106.21,3.42,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Alcoholic beverages,*,*,*,02.1,105.65,3.82,*
2024,Current,2026,January,All India,Combined,"Paan, tobacco and intoxicants",Paan and tobacco,*,*,*,02.3,103.26,1.96,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Clothing,*,*,*,03.1,106.42,3.40,*
2024,Current,2026,January,All India,Combined,Clothing and footwear,Footwear,*,*,*,03.2,102.67,0.23,*
